first_name;last_name;email;address;postal_code;city;IntérêtDéfense;IntérêtÉconomie;IntérêtÉducation;IntérêtGéopolitique;CentreIntérêtLaCouture;CentreIntérêtLeVélo;CentreIntérêtLaCuisine;CentreIntérêtLesVoyages;CentreIntérêtRien;donateur10;donateur20;donateur50;donateur100;PetitionSauvezWilly;PetitionSouleverDesMontagne;PetitionVieDureSansConfiture;MeetingGrandMeetingDeLaRentree2022;MeetingLesRencontresMensuelles;MeetingManifestationContreLeauFroide;MeetingManifestationContreLeFeu;Latitude;Longitude
Astrid;Pinto;uperrier@guyot.com;900 RTE DE PARIS;01440;VIRIAT;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;46.222647;5.208387
Philippe;Duval;bertrand.dupuy@club-internet.fr;1 AV MICHEL DE L HOSPITAL;02100;SAINT-QUENTIN;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;49.862154;3.269781
Marc;Bazin;margot37@gmail.com;30  VOIE ROMAINE;06000;NICE;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;43.723639;7.281693
Émile;Techer;moreau.victor@jourdan.fr;28 AV VALROSE;06100;NICE;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;43.718242;7.266778
Sophie;Mahe;lamy.michele@gros.net;5 ALL DES GABIANS;06150;CANNES;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;43.541852;6.95659
Lorraine;Toussaint;paulette.denis@martinez.fr;147 BD DU MERCANTOUR;06200;NICE;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.67538;7.19965
Caroline;Delmas;marc.monnier@wanadoo.fr;0 RTE ST ANTOINE DE GINESTIERE;06200;NICE;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.699219;7.223647
Laure;Ledoux;smerle@noos.fr;5 RUE DE L HOTEL DE VILLE;06300;NICE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;43.696197;7.271743
Thibaut;Thomas;mberthelot@noos.fr;0 PL DE L HOTEL DE VILLE;06400;CANNES;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.556707;6.966771
Denis;Vallet;bouvier.anais@laposte.net;15 AV DES BROUSSAILLES;06400;CANNES;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;43.562818;7.005294
William;Briand;sthierry@noos.fr;485  PIN MONTARD;06410;BIOT;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.62175;7.061943
Nathalie;Guillon;guyon.marcel@lejeune.fr;0 CRS MASSENA;06600;ANTIBES;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;43.580746;7.127431
Thérèse;Gregoire;peltier.guy@hotmail.fr;45 AV DE MANCHESTER;08000;CHARLEVILLE-MEZIERES;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;49.761686;4.695118
Daniel;Rousset;michelle.gallet@lagarde.fr;101 AV ANATOLE FRANCE;10000;TROYES;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;48.279897;4.068811
Margaud;Germain;christophe59@live.com;27 PL JULES GUESDE;13002;MARSEILLE 2;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;43.302103;5.374144
Bertrand;Thomas;cohen.susanne@club-internet.fr;4 BD J. SAADE - QUAI D'ARENC;13002;MARSEILLE 2;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;43.312654;5.366846
Emmanuel;Giraud;victoire.georges@hotmail.fr;0 AV DES TAMARIS;13100;AIX-EN-PROVENCE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;43.535516;5.441265
Isaac;David;aubry.francois@dbmail.com;0 PL DE L HOTEL DE VILLE;13100;AIX-EN-PROVENCE;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.529931;5.447869
Inès;Henry;michel.tanguy@martins.fr;0  ;13115;SAINT-PAUL-LES-DURANCE;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.691553;5.724929
Dominique;Guillon;lebreton.gabrielle@fleury.com;0  ZONE INDUSTRIELLE;13270;FOS-SUR-MER;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;43.480884;4.925867
Adrien;Clerc;berger.augustin@leclercq.org;0 AV LOUIS SAMMUT;13500;MARTIGUES;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;43.426627;5.045047
Roger;Couturier;vallet.isabelle@tele2.fr;0  AEROPORT MARSEILLE PROVENCE;13700;MARIGNANE;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.28687;5.367462
Inès;Andre;thierry.antoine@andre.net;0 AV COQ;13790;ROUSSET;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.47498;5.597456
André;Boyer;vcarlier@girard.fr;0 PL REINE MATHILDE;14000;CAEN;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;49.186606;-0.353634
Victoire;Vallee;perez.christine@hotmail.fr;16 RUE ROSA PARKS;14000;CAEN;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;49.178678;-0.348452
